"rank","finalWorth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","status","gender","birthDate","lastName","firstName","title","date","state","residenceStateRegion","birthYear","birthMonth","birthDay","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country"
2259,1200,"Finance & Investments","Sanjay Agarwal",52,"India","Jaipur","Banking","Finance & Investments","India",NA,TRUE,"E","M","9/8/1970 0:00","Agarwal","Sanjay",NA,"4/4/2023 5:01",NA,NA,1970,9,8,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2133,1300,"Technology","Eduard Kucera",70,"Czech Republic","Prague","Software","Technology","Czech Republic",NA,TRUE,"D","M","1/11/1953 0:00","Kucera","Eduard",NA,"4/4/2023 5:01",NA,NA,1953,1,11,116.48,2.8,"$246,489,245,495",64.1,100.7,79,14.9,46.1,10669709,49.817492,15.472962
1434,2100,"Technology","Leonid Radvinsky",40,"United States",NA,"E-commerce","Technology","United States",NA,TRUE,"U","M","5/30/1982 0:00","Radvinsky","Leonid",NA,"4/4/2023 5:01","Florida","South",1982,5,30,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,"Finance & Investments","Leonid Boguslavsky",71,"Italy","Florence","Venture capital","Finance & Investments","Canada",NA,TRUE,"D","M","6/17/1951 0:00","Boguslavsky","Leonid",NA,"4/4/2023 5:01",NA,NA,1951,6,17,110.62,0.6,"$2,001,244,392,042",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
157,11100,"Fashion & Retail","Giorgio Armani",88,"Italy","Milan","Luxury goods","Fashion & Retail","Italy",NA,TRUE,"U","M","7/11/1934 0:00","Armani","Giorgio",NA,"4/4/2023 5:01",NA,NA,1934,7,11,110.62,0.6,"$2,001,244,392,042",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
1164,2600,"Manufacturing","Chen Zhiping",47,"China","Shenzhen","E-cigarettes","Manufacturing","China",NA,TRUE,"D","M","1/1/1976 0:00","Chen","Zhiping",NA,"4/4/2023 5:01",NA,NA,1976,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
365,6700,"Manufacturing","Magdalena Martullo-Blocher",54,"Switzerland","Feldmeilen","Chemicals","Manufacturing","Switzerland",NA,FALSE,"D","F","1/1/1969 0:00","Martullo-Blocher","Magdalena",NA,"4/4/2023 5:01",NA,NA,1969,1,1,99.55,0.4,"$703,082,435,360",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
1804,1600,"Healthcare","Randal J. Kirk",69,"United States","Manalapan","Pharmaceuticals","Healthcare","United States",NA,TRUE,"E","M","3/1/1954 0:00","Kirk","Randal J.",NA,"4/4/2023 5:01","Florida","South",1954,3,1,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1164,2600,"Diversified","Carl Douglas",61,"Sweden","Stockholm","Investments","Diversified","Sweden",NA,FALSE,"D","M","5/5/1961 0:00","Douglas","Carl",NA,"4/4/2023 5:01",NA,NA,1961,5,5,110.51,1.8,"$530,832,908,738",67,126.6,82.5,27.9,49.1,10285453,60.128161,18.643501
2405,1100,"Technology","Ye Qiongjiu",68,"China","Hangzhou","Software","Technology","China",NA,TRUE,"U","F","10/14/1954 0:00","Ye","Qiongjiu",NA,"4/4/2023 5:01",NA,NA,1954,10,14,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2020,1400,"Manufacturing","David McMurtry",82,"United Kingdom","Wotton-under-Edge","Manufacturing","Manufacturing","United Kingdom",NA,TRUE,"D","M","5/3/1940 0:00","McMurtry","David",NA,"4/4/2023 5:01",NA,NA,1940,5,3,119.62,1.7,"$2,827,113,184,696",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
982,3000,"Diversified","Guangxin Sun",60,"China","Urumqi","Diversified","Diversified","China",NA,TRUE,"U","M","12/1/1962 0:00","Sun","Guangxin",NA,"4/4/2023 5:01",NA,NA,1962,12,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1905,1500,"Healthcare","Wang Junmin",54,"China","Chengdu","Pharmaceuticals","Healthcare","China",NA,TRUE,"U","M","12/12/1968 0:00","Wang","Junmin",NA,"4/4/2023 5:01",NA,NA,1968,12,12,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,"Fashion & Retail","Dirk Rossmann & family",76,"Germany","Lower-Saxony","Drugstores","Fashion & Retail","Germany",NA,TRUE,"U","M","9/7/1946 0:00","Rossmann","Dirk",NA,"4/4/2023 5:01",NA,NA,1946,9,7,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1368,2200,"Healthcare","Prathap Reddy",91,"India","Chennai","Healthcare","Healthcare","India",NA,TRUE,"D","M","2/5/1932 0:00","Reddy","Prathap",NA,"4/4/2023 5:01",NA,NA,1932,2,5,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1647,1800,"Finance & Investments","Brian Higgins",58,"United States","New York","Hedge funds","Finance & Investments","United States","King Street Capital Management",TRUE,"E","M","2/8/1965 0:00","Higgins","Brian","Investor","4/4/2023 5:01","New York","Northeast",1965,2,8,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,"Finance & Investments","Ron Baron",79,"United States","New York","Money management","Finance & Investments","United States",NA,TRUE,"U","M","5/23/1943 0:00","Baron","Ron",NA,"4/4/2023 5:01","New York","Northeast",1943,5,23,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2133,1300,"Service","Mitchell Jacobson",72,"United States","Locust Valley","Industrial equipment","Service","United States",NA,FALSE,"E","M","3/6/1951 0:00","Jacobson","Mitchell",NA,"4/4/2023 5:01","New York","Northeast",1951,3,6,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1647,1800,"Food & Beverage","Christopher Goldsbury",80,"United States","San Antonio","Salsa","Food & Beverage","United States","Silver Ventures",FALSE,"E","M","1/1/1943 0:00","Goldsbury","Christopher","Chief Executive Officer","4/4/2023 5:01","Texas","South",1943,1,1,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1067,2800,"Healthcare","Stewart Rahr",77,"United States","New York","Drug distribution","Healthcare","United States",NA,FALSE,"U","M","2/18/1946 0:00","Rahr","Stewart",NA,"4/4/2023 5:01","New York","Northeast",1946,2,18,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
878,3300,"Metals & Mining","Julio Ponce Lerou",77,"Chile","Santiago","Fertilizer","Metals & Mining","Chile",NA,TRUE,"D","M","11/13/1945 0:00","Ponce Lerou","Julio",NA,"4/4/2023 5:01",NA,NA,1945,11,13,131.91,2.6,"$282,318,159,745",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
2133,1300,"Diversified","Hari Bhartia",66,"India","Delhi","Diversified","Diversified","India",NA,FALSE,"D","M","12/12/1956 0:00","Bhartia","Hari",NA,"4/4/2023 5:01",NA,NA,1956,12,12,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2540,1000,"Manufacturing","Koo Bon-neung",74,"South Korea","Seoul","Electronics","Manufacturing","South Korea","Heesung Electronics",FALSE,"D","M","3/26/1949 0:00","Koo","Bon-neung",NA,"4/4/2023 5:01",NA,NA,1949,3,26,115.16,0.4,"$2,029,000,000,000",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
2540,1000,"Manufacturing","Franziska Wuerbser",35,NA,NA,"Kitchen appliances","Manufacturing","Germany",NA,FALSE,"D","F","3/21/1988 0:00","Wuerbser","Franziska",NA,"4/4/2023 5:01",NA,NA,1988,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,18900,"Food & Beverage","Qin Yinglin",57,"China","Nanyang","Pig breeding","Food & Beverage","China",NA,TRUE,"D","M","4/17/1965 0:00","Qin","Yinglin",NA,"4/4/2023 5:01",NA,NA,1965,4,17,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1905,1500,"Diversified","Romano Minozzi",88,"Italy","Spilamberto","Utilities, diversified","Diversified","Italy",NA,TRUE,"D","M","3/6/1935 0:00","Minozzi","Romano",NA,"4/4/2023 5:01",NA,NA,1935,3,6,110.62,0.6,"$2,001,244,392,042",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
455,5600,"Automotive","Wu Jianshu",59,"China","Ningbo","Auto parts","Automotive","Hong Kong",NA,TRUE,"D","M","1/1/1964 0:00","Wu","Jianshu",NA,"4/4/2023 5:01",NA,NA,1964,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,"Real Estate","Jerry Speyer & family",82,"United States","New York","Real estate","Real Estate","United States",NA,TRUE,"E","M","6/23/1940 0:00","Speyer","Jerry",NA,"4/4/2023 5:01","New York","Northeast",1940,6,23,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
679,4100,"Media & Entertainment","Hubert Burda",83,"Germany","Munich","Publishing","Media & Entertainment","Germany",NA,FALSE,"U","M","2/9/1940 0:00","Burda","Hubert",NA,"4/4/2023 5:01",NA,NA,1940,2,9,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1905,1500,"Service","Zhang Bangxin",43,"China","Beijing","Education","Service","China",NA,TRUE,"R","M","1/1/1980 0:00","Zhang","Bangxin",NA,"4/4/2023 5:01",NA,NA,1980,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,"Finance & Investments","Daniel Loeb",61,"United States","New York","Hedge funds","Finance & Investments","United States","Third Point",TRUE,"D","M","12/18/1961 0:00","Loeb","Daniel","Investor","4/4/2023 5:01","New York","Northeast",1961,12,18,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
104,16200,"Technology","Eric Schmidt",67,"United States","Atherton","Google","Technology","United States",NA,TRUE,"D","M","4/27/1955 0:00","Schmidt","Eric",NA,"4/4/2023 5:01","California","West",1955,4,27,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
679,4100,"Fashion & Retail","Igor Kesaev",56,"Russia","Moscow","Tobacco distribution, retail","Fashion & Retail","Russia",NA,TRUE,"U","M","10/30/1966 0:00","Kesaev","Igor",NA,"4/4/2023 5:01",NA,NA,1966,10,30,180.75,4.5,"$1,699,876,578,871",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
317,7200,"Fashion & Retail","Takahisa Takahara",61,"Japan","Tokyo","Personal care goods","Fashion & Retail","Japan",NA,FALSE,"U","M","7/12/1961 0:00","Takahara","Takahisa",NA,"4/4/2023 5:01",NA,NA,1961,7,12,105.48,0.5,"$5,081,769,542,380",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
246,8300,"Finance & Investments","Francine von Finck & family",NA,"Switzerland","Thurgau","Investments","Finance & Investments","Germany",NA,FALSE,"D","F",NA,"von Finck","Francine",NA,"4/4/2023 5:01",NA,NA,NA,NA,NA,99.55,0.4,"$703,082,435,360",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
126,14100,"Real Estate","Kwong Siu-hing",93,"Hong Kong","Hong Kong","Real estate","Real Estate","Hong Kong",NA,FALSE,"U","F","12/2/1929 0:00","Kwong","Siu-hing",NA,"4/4/2023 5:01",NA,NA,1929,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2259,1200,"Healthcare","Alan Miller & family",85,"United States","Lower Merion","Healthcare services","Healthcare","United States",NA,TRUE,"D","M","8/17/1937 0:00","Miller","Alan",NA,"4/4/2023 5:01","Pennsylvania","Northeast",1937,8,17,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
